"Line","Pattern","LineNumber","INDEX"
" PASSED: PriorDamageEstimate_HideReAssignActionMenu(""6877615"") [6m 30s]","PASSED:","13530","1"
" PASSED: TimeoutReturnsToSamePage_Attachments(""6250616"") [5m 29s]","PASSED:","13531","1"
" PASSED: AttachmentsExceptionScenarios(""3443177"") [6m 18s]","PASSED:","13532","1"
" PASSED: DamagePageClaimInfoVehicleNotListed(""6664723"") [4m 49s]","PASSED:","13533","1"
" PASSED: TimeoutReturnsToSamePage_Comments(""6250618"") [5m 33s]","PASSED:","13534","1"
" FAILED: ShopEstimatorDRP(""4772251"") [1m]","FAILED:","13535","1"
" PASSED: TimeoutReturnsToSamePage_Complete(""6250617"") [5m 14s]","PASSED:","13552","1"
" PASSED: Roof(""1510660"") [6m 58s]","PASSED:","13553","1"
" PASSED: StaffDisclaimers(""5168485"") [1m 6s]","PASSED:","13554","1"
" PASSED: RemovingAdditionalLaborfromDamageList(""1198936"") [8m 27s]","PASSED:","13555","1"
" PASSED: RestoreProfileIdToProfileId_IndividualRecords(""6204957"") [9m 40s]","PASSED:","13556","1"
" PASSED: DamagePageViewSettingsAutomaticRefinish(""4122146"") [6m 8s]","PASSED:","13557","1"
" PASSED: TimeoutReturnsToSamePage_Rates(""5820500"") [6m 12s]","PASSED:","13558","1"
" PASSED: DeletingAPartFromThePartslist(""1510669"") [6m 2s]","PASSED:","13559","1"
" PASSED: ShopUpdateDefaultRateRecordHomeProfile(""5098484"") [10m 43s]","PASSED:","13560","1"
" PASSED: DisplayAirbagMatrixNextToAirbagPartsList(""6037229"") [5m 36s]","PASSED:","13561","1"
" FAILED: AddingAMultipartWithDoubleClick(""1198972"") [4m 2s]","FAILED:","13562","1"
" PASSED: StaffUpdateDefaultRateRecordNewLaborRatesON(""4721535"") [8m 50s]","PASSED:","13616","1"
" FAILED: FastCapture_BothReplace(""1248840"") [3m 51s]","FAILED:","13617","1"
" FAILED: SupplierContainerNotDisplayedWhenPXNPartNotSelected(""6270983"") [4m]","FAILED:","13674","1"
" PASSED: StaffCreateNEWRateRecordNewLaborRatesON(""4721537"") [8m 18s]","PASSED:","13731","1"
" PASSED: FrameDimensionsNGPOffVehHasFrame(""5847197"") [2m 29s]","PASSED:","13732","1"
" PASSED: AddingAPartWithDoubleClick(""1198973"") [5m 42s]","PASSED:","13733","1"
" PASSED: ShopEstimatorHome(""4795643"") [12m 15s]","PASSED:","13734","1"
" PASSED: AppointmentDayTimeCalCutOff(""7490465"") [1m 38s]","PASSED:","13735","1"
" PASSED: SupplementContainerForSupplementAttachments_Files(""3443172"") [10m 43s]","PASSED:","13736","1"
" PASSED: TimeoutReturnsToSamePage_AdminContactsTab(""5999663"") [6m 1s]","PASSED:","13737","1"
